LAS mean service time (hr),DEN mean service time (hr),MDW mean service time (hr),LAS initial aircraft reserve,DEN initial aircraft reserve,MDW initial aircraft reserve,LAS->DEN travel time (hr),LAS->MDW travel time (hr),DEN->MDW travel time (hr),DEN->LAS travel time (hr),MDW->LAS travel time (hr),MDW->DEN travel time (hr),State,Day,Duration,Date
0.260705,0.13483955,0.05720254,6.378656,6.7661138,2.6780121,1.7692615,3.2688851,1.8693882,1.6877099,3.8969338,2.3838515,Nominal,0,1,2022-12-01
0.22010753,0.1522466,0.04180802,6.2319884,5.60553,3.0241053,1.7912341,3.1986003,1.9598563,1.883706,4.046001,2.478656,Nominal,0,1,2022-12-01
0.27253306,0.15079908,0.1609988,6.8108644,6.0073023,2.426606,1.726268,3.444339,2.0933957,1.6804035,4.022343,2.4556634,Nominal,0,1,2022-12-01
0.27479538,0.13163587,0.03706242,6.8747253,6.1857653,2.4568677,1.6132979,3.2362719,1.9714699,1.774127,3.9274323,2.4353254,Nominal,0,1,2022-12-01
0.20886917,0.15386474,0.09048979,6.081197,6.4550195,2.749106,1.709409,3.3293526,1.8682266,1.7769676,4.104664,2.4148545,Nominal,0,1,2022-12-01
0.24192968,0.1825341,0.06848318,6.8807187,6.4708557,2.748814,1.7496012,3.2242918,1.9789956,1.773661,3.8438282,2.5962284,Nominal,0,1,2022-12-01
0.22523616,0.1799347,0.06441148,6.8852386,6.9575944,2.736433,1.6940507,3.2167954,2.0045314,1.8097498,4.03007,2.513294,Nominal,0,1,2022-12-01
0.17870559,0.21880369,0.09850315,6.2115154,6.105475,2.4352055,1.7144486,3.2859633,1.9710301,1.8041972,3.9246578,2.5465636,Nominal,0,1,2022-12-01
0.2519335,0.17039138,0.09326542,5.834684,7.105177,2.0642123,1.7669042,3.3213086,1.925848,1.7007688,3.977647,2.501508,Nominal,0,1,2022-12-01
0.24235523,0.12604739,0.08707274,6.6974397,6.603132,2.315146,1.6998608,3.3883924,1.9016073,1.8702145,3.9330742,2.5651634,Nominal,0,1,2022-12-01
0.25822985,0.14089555,0.07060955,6.372371,6.187236,2.6894875,1.6979012,3.0533752,1.9277916,1.6948915,3.915399,2.5315342,Nominal,0,1,2022-12-01
0.23907419,0.16681068,0.04832199,6.5289464,6.2813396,2.6848285,1.765742,3.2098827,1.9069369,1.7535703,3.875059,2.482879,Nominal,0,1,2022-12-01
0.22848488,0.110629834,0.08783861,5.7458057,6.443258,3.377787,1.7162912,3.2000911,1.8189838,1.785684,3.8894835,2.5682094,Nominal,0,1,2022-12-01
0.23091307,0.12606326,0.10305564,5.5814576,6.7109046,3.0987926,1.7378299,2.9670825,1.9047621,1.6806564,4.044718,2.4791408,Nominal,0,1,2022-12-01
0.17098206,0.17154694,0.05033605,6.217271,7.2538714,3.0510368,1.7401621,3.0779858,1.8986292,1.8082323,4.028879,2.4968147,Nominal,0,1,2022-12-01
0.21595393,0.12827478,0.07150859,8.034603,6.08073,2.3954554,1.6580757,3.3570266,1.9095229,1.6815677,4.0731144,2.406163,Nominal,0,1,2022-12-01
0.24371144,0.1359022,0.0845629,5.8135796,6.174672,2.6103194,1.6966151,3.1101916,2.005442,1.846389,3.867004,2.6048052,Nominal,0,1,2022-12-01
0.16640483,0.15082277,0.105519965,6.264024,6.72692,2.7024148,1.7083756,3.1808417,1.9198605,1.8079791,3.911783,2.5716994,Nominal,0,1,2022-12-01
